ticker,early_ai,lit_score,reasoning
HSTM,60.0,58,"Per Eloundou et al., core learning management and compliance training delivery are E1-exposed tasks (text generation, classification, document processing), but per Acemoglu & Restrepo, the firm's credentialing validation with real-time license monitoring, AI-driven clinical assessments, VR/AR simulations, and scheduling optimization require specialized healthcare domain expertise, regulatory integration, and complex judgment that are non-automatable; the proprietary taxonomy engines and healthcare-specific benchmarks add defensibility beyond pure text tasks."
FRSH,60.0,72,"Per Eloundou et al., Freshworks' core products (customer service helpdesk, IT ticketing, sales/marketing automation) center on E1 tasks—text classification, response generation, document summarization, and knowledge Q&A—where LLMs reduce time 50%+; Brynjolfsson's customer service findings directly apply here, though some value remains in workflow integrations, multi-channel coordination, and existing customer data/relationships that create switching costs beyond pure text processing."
WK,60.0,72,"Per Eloundou et al., Workiva's core value proposition—document creation, report generation, data linking across regulatory/ESG filings, and collaborative editing—maps directly to E1 text generation and document processing tasks where LLMs reduce time 50%+; however, per Acemoglu & Restrepo, the platform's deep ERP/GRC/HCM integrations, audit-trail controls, and regulatory compliance workflows involve complex judgment and proprietary data connections that are not fully codifiable, preventing a higher score."
INLX,60.0,68,"Per Eloundou et al., document management, capture, classification, and retrieval are E1 tasks where LLMs excel at text processing and information synthesis; however, per Acemoglu & Restrepo, the physical document conversion services (paper scanning, long-term storage) and compliance/audit requirements involve non-automatable physical handling and specialized integrations that provide some defensibility against pure LLM replication."
SPT,60.0,72,"Per Eloundou et al., Sprout Social's core functions—social media content creation, scheduling, sentiment classification, and customer communication synthesis—are high E1 exposure tasks where LLMs reduce time 50%+; however, per Acemoglu & Restrepo, some value derives from proprietary API integrations with major platforms (Twitter, Facebook, Instagram, LinkedIn) and cross-platform workflow orchestration that requires real-time data access and platform-specific compliance, providing moderate protection from pure LLM replication."
CXM,55.0,72,"Per Eloundou et al., Sprinklr's core functions—social media monitoring, sentiment analysis, customer message classification, and AI-powered response generation—are high E1 tasks where LLMs excel at text processing and communication synthesis; however, per Acemoglu & Restrepo, the platform's value from proprietary integrations with 30+ digital channels, enterprise-scale data infrastructure, and real-time workflow orchestration across CRM systems involves non-trivial system integration that provides moderate defensibility beyond pure text/knowledge tasks."
ONTF,55.0,72,"Per Eloundou et al., ON24's core value proposition—webinar hosting, virtual events, content experiences, and engagement analytics—centers on text/multimedia content delivery and behavioral data classification, which are high E1 exposure tasks where LLMs excel at generation, summarization, and pattern recognition; however, Brynjolfsson's framework suggests some defensibility in their accumulated first-party engagement data and real-time interactive infrastructure, preventing a pure E1 score."
PATH,55.0,52,"UiPath's RPA platform occupies a mixed E0/E1 position: while document extraction, form filling, and information processing are E1 tasks highly exposed to LLM automation per Eloundou et al., the core value proposition—deep system integration across enterprise applications, visual UI automation requiring computer vision for legacy systems, and orchestrating workflows across heterogeneous IT stacks—involves Acemoglu's non-automatable complex integration and real-time adaptation that LLMs alone cannot replicate without specialized tooling and API access."
APPN,55.0,52,"Per Eloundou et al., Appian's core value—visual workflow design, form generation, and process automation—involves E1-exposed tasks (document processing, UI generation) that LLMs can increasingly replicate through code generation; however, per Acemoglu & Restrepo, the platform's deep enterprise integration, complex case management, RPA orchestration, and proprietary process mining require non-automatable system-level coordination and judgment, placing it in mixed E0/E1 territory where surface features are replicable but enterprise-grade execution remains protected."
YEXT,55.0,78,"Per Eloundou et al., Yext's core value proposition—structuring business facts, natural language query understanding, and delivering direct answers across platforms—maps directly to E1 tasks (text classification, knowledge Q&A, document processing) where LLMs reduce time 50%+; modern LLMs with RAG architectures can replicate Knowledge Graph structuring, NLP-based search, and answer generation, though Brynjolfsson notes the 200+ publisher network integrations and real-time sync provide some E0 moat via established API relationships not easily replicated."
BILL,55.0,42,"Per Eloundou et al., BILL's AI-enabled invoice processing, data capture, and document classification are E1-exposed tasks where LLMs reduce time 50%+; however, per Acemoglu & Restrepo, the core value lies in non-automatable infrastructure—secure payment processing, bank/card issuer integrations, regulatory compliance, and real-time financial network connections with 4.7M members—requiring specialized system integration and trust relationships that LLMs cannot replicate."
INTA,50.0,72,"Per Eloundou et al., Intapp's core functions—relationship management, deal tracking, document workflows, and 'proprietary AI' for business development—are primarily E1 text/classification/knowledge tasks where LLMs reduce time 50%+; however, Acemoglu's framework notes the 20-year domain-specific data moats, complex regulatory compliance logic, and deep system integrations with professional services workflows provide moderate protection, preventing a pure E1 score."
FA,50.0,52,"Per Eloundou et al., background screening involves mixed E0/E1 tasks: while document processing and report generation are LLM-suitable (E1), the core value depends on proprietary database access to criminal records, court systems, government verification sources, and drug testing infrastructure—real-time data dependencies that Eloundou classifies as E0; Acemoglu & Restrepo would note the compliance/regulatory judgment and physical verification components (biometrics, drug screening) remain non-automatable, though Brynjolfsson's framework suggests some information synthesis could be augmented."
BRZE,50.0,62,"Per Eloundou et al., Braze's core value involves E1-exposed tasks like message generation, content personalization, and customer communication orchestration—areas where LLMs excel at text generation and classification; however, per Acemoglu & Restrepo, their proprietary real-time stream processing architecture, enterprise-grade data infrastructure handling 9 trillion data points, and cross-channel orchestration engine represent non-automatable technical moats requiring complex systems integration that LLMs cannot replicate, placing this in the 'Mostly E1' category but with meaningful E0 infrastructure components."
SMSI,45.0,52,"Per Brynjolfsson's framework, Smith Micro's family safety and voice messaging apps involve partial LLM-suitable tasks (content delivery, user communication features), but per Acemoglu & Restrepo, core value lies in non-automatable real-time GPS tracking, device-level security integration, IoT connectivity, and deep carrier system integration requiring specialized technical infrastructure and proprietary data relationships that LLMs cannot replicate."
MAPS,45.0,72,"Per Eloundou et al., the core marketplace functions—product discovery, strain/pricing information display, listing management, and consumer-retailer matching—are primarily E1 text/classification tasks where LLMs excel; however, per Acemoglu & Restrepo, the cannabis-specific compliance software (WM Dispatch logistics, regulatory tracking) and real-time inventory integrations represent non-automatable specialized domain requirements that provide moderate defensibility against pure LLM replication."
FIVN,45.0,62,"Per Eloundou et al., Five9's core contact center platform involves E1-exposed tasks like text/voice classification, customer query routing, and conversational AI that LLMs can substantially replicate; however, per Acemoglu & Restrepo, the real-time telephony infrastructure, enterprise system integrations, and complex multi-channel orchestration require non-automatable technical coordination that creates moderate defensibility beyond pure text processing."
CRNC,45.0,35,"Per Acemoglu & Restrepo, Cerence's core value lies in non-automatable specialized domain expertise: real-time embedded automotive systems, acoustic modeling for specific vehicle configurations, edge computing for safety-critical environments, and deep OEM integration requiring physical world adaptation—all E0 characteristics per Eloundou et al., as the product requires real-time data processing, specialized hardware integration, and safety-critical reliability that LLMs cannot replicate, despite surface-level appearance as 'AI assistants.'"
BOX,40.0,42,"Per Eloundou et al., Box's core value proposition—secure cloud storage, file synchronization, compliance infrastructure, and enterprise integrations with 1,500+ partners—constitutes E0 tasks requiring real-time data handling, security enforcement, and complex system integration that LLMs cannot replicate alone; while some features like document classification and content search have E1 exposure (Brynjolfsson's information synthesis), the platform's fundamental value lies in infrastructure, permissions, regulatory compliance, and cross-platform file management rather than text generation or knowledge Q&A."
AI,40.0,52,"C3.ai provides AI/ML development platforms and pre-built enterprise AI applications, which per Eloundou represents mixed exposure—while their no-code ML tools and data visualization features (E1 tasks) face direct LLM replication risk, their core value lies in complex enterprise system integration, model deployment at scale across hybrid infrastructures, and deep domain-specific industrial applications (E0 tasks requiring specialized tools and complex judgment per Acemoglu), creating a mixed replicability profile."
HCAT,40.0,52,"Per Brynjolfsson et al., Health Catalyst's analytics dashboards and reporting constitute LLM-suitable information synthesis (E1), but per Acemoglu & Restrepo, their core value derives from non-automatable elements: deep healthcare data platform integration requiring proprietary ETL pipelines, clinical domain expertise for measurable improvement workflows, and complex judgment in translating analytics to operational changes—tasks requiring specialized tools and real-time adaptation that Eloundou et al. classify as E0."
PRCH,40.0,42,"Porch operates a mixed E0/E1 business: while some components like lead generation, data analytics (V12), and CRM/marketing tools involve text and matching tasks with high LLM exposure per Eloundou, the core value lies in insurance underwriting (risk-bearing carrier requiring actuarial judgment and regulatory compliance per Acemoglu's non-automatable criteria), real-time fraud prevention (Rynoh), and deep integrations with 24,000+ service providers—proprietary data networks and insurance operations that LLMs cannot replicate."
CREX,35.0,38,"Per Eloundou et al., core value lies in E0 tasks: physical hardware deployment, managed field technician labor pool, nationwide installation/service logistics, and real-time network infrastructure management—none replaceable by LLM alone; while content creation and ad scheduling (E1) are secondary services, the primary competitive moat is physical deployment capability and proprietary SaaS integration with enterprise hardware systems, aligning with Acemoglu's non-automatable physical coordination requirements."
RDVT,35.0,42,"Per Eloundou et al., while text-based identity verification and document processing suggest E1 exposure, Red Violet's core value derives from proprietary massive datasets, real-time identity graph relationships, and specialized analytical infrastructure that LLMs cannot replicate; per Acemoglu & Restrepo, the complex judgment required for fraud detection and the non-codifiable nature of maintaining authoritative identity databases with public/proprietary data integrations represents non-automatable specialized domain expertise (Brynjolfsson), placing this in mixed E0/E1 territory where the data moat, not the analytics interface, constitutes defensible value."
PD,35.0,32,"Per Eloundou et al., PagerDuty's core value lies in real-time incident detection, machine learning correlation across 650+ system integrations, and automated orchestration of urgent infrastructure responses—tasks requiring real-time data processing and deep system integration that fall firmly in E0 territory; while some alert summarization and documentation could leverage LLMs (partial E1), the mission-critical nature of sub-second incident response, proprietary ML models trained on operational signals, and complex judgment around escalation represent non-automatable tasks per Acemoglu & Restrepo that protect most of the platform's value."
CCLD,35.0,52,"Per Brynjolfsson's framework, CareCloud's RCM billing, claims processing, and RPA automation are partially LLM-suitable (text/document processing, E1 tasks), but per Acemoglu & Restrepo, core value involves deep healthcare system integrations, regulatory compliance (HIPAA), real-time insurance eligibility checks, EHR clinical workflows requiring specialized domain expertise, and complex judgment in revenue cycle optimization—these represent non-automatable tasks requiring proprietary data connections and healthcare-specific infrastructure that LLMs cannot replicate independently."
GDYN,30.0,52,"Grid Dynamics provides digital transformation consulting, software development, and IT services—per Brynjolfsson, some tasks like documentation, code generation, and testing have partial LLM suitability (E1), but per Acemoglu & Restrepo, the core value lies in complex technical judgment, enterprise system integration, client relationship management, and bespoke engineering requiring deep domain expertise and real-time adaptation (E0/non-automatable), placing this firmly in the mixed category."
CDLX,30.0,52,"Per Brynjolfsson's framework, Cardlytics has E1-suitable elements (ad targeting, analytics, campaign measurement) that LLMs could partially replicate, but per Acemoglu & Restrepo, the core value depends on non-automatable proprietary assets: exclusive FI partner relationships providing anonymized purchase data, real-time POS integrations, and closed-loop measurement infrastructure requiring actual transaction flow—these data moats and contractual network effects are E0 barriers that LLMs cannot replicate regardless of analytical capability."
DOCS,30.0,72,"Per Eloundou et al., Doximity's core value propositions—marketing content delivery to physicians, professional networking/matching, news curation, and recruiting candidate identification—are primarily E1 text/classification/matching tasks where LLMs excel at content generation, targeting, and information synthesis; however, per Acemoglu & Restrepo, the established two-million-physician verified network, telehealth infrastructure with 100M+ visits, and proprietary professional graph represent non-automatable assets that provide defensibility beyond pure content/matching functions."
PCOR,30.0,52,"Per Brynjolfsson et al., Procore's document management, collaboration, and workflow automation features involve LLM-suitable written communication and information synthesis (E1 tasks), but per Acemoglu & Restrepo, the core value proposition—serving as construction industry's system of record with deep ERP integrations, real-time jobsite coordination across 350+ third-party applications, and domain-specific workflows requiring specialized construction expertise—involves complex judgment and proprietary data integration that remains non-automatable (E0), placing it in the mixed category."
SLP,25.0,42,"Per Eloundou et al., while SLP uses AI/ML for molecular property prediction (E1-adjacent), their core value lies in proprietary mechanistic simulation models solving differential equations for drug pharmacokinetics—specialized domain expertise requiring scientific validation and regulatory acceptance that Brynjolfsson identifies as not LLM-suitable; the deep pharmaceutical domain knowledge, validated scientific models, and consulting requiring complex judgment place this in Acemoglu's non-automatable category despite surface-level AI terminology."
GTLB,25.0,35,"Per Acemoglu & Restrepo, GitLab's core value lies in deep system integration, CI/CD pipeline orchestration, and DevOps infrastructure—tasks requiring complex technical judgment and real-time coordination across development environments, not codifiable text generation; while LLMs can assist with code suggestions or documentation (partial E1 per Eloundou), the platform's unified data model, security scanning, and operational toolchain represent non-automatable infrastructure that requires specialized domain expertise and physical coordination with deployment systems (Brynjolfsson: not LLM-suitable for core platform value)."
PRGS,25.0,35,"Per Eloundou et al., Progress Software's core value lies in application development platforms, load balancing infrastructure (Kemp), network monitoring (Flowmon), and DevOps tools—these are E0 tasks requiring real-time system integration, deep technical infrastructure, and specialized tooling that LLMs cannot replicate alone; while some documentation or code assistance features might be E1-exposed, the fundamental product value is in complex system-level software that per Acemoglu & Restrepo requires non-automatable technical judgment and real-time adaptation."
APPF,25.0,52,"Per Brynjolfsson et al., AppFolio combines LLM-suitable tasks (tenant communications, document processing, marketing content) with Acemoglu's non-automatable elements (complex accounting integrations, real-time payment processing, insurance risk assessment, proprietary property management workflows requiring deep system integration and regulatory compliance), placing it in mixed E0/E1 territory where core operational value depends on integrated data systems and financial transactions beyond text generation."
TRAK,25.0,52,"Per Brynjolfsson et al., the compliance document management and supplier vetting involve LLM-suitable written communication and information synthesis (E1 tasks), but per Acemoglu & Restrepo, the core value lies in the established B2B network/hub-spoke relationships, proprietary supplier databases, real-time supply chain transaction processing, and food safety regulatory integration requiring specialized domain expertise and complex judgment—non-automatable elements that protect roughly half the platform's value from LLM replication."
MANH,20.0,32,"Per Eloundou's E0 classification, Manhattan Associates' core value lies in real-time warehouse management systems, transportation optimization, and inventory control requiring deep physical-world integration with distribution centers, hardware (conveyors, scanners, robotics), and proprietary operational data—tasks explicitly non-automatable under Acemoglu's framework due to complex judgment in logistics coordination and real-time adaptation to supply chain disruptions; while some documentation or reporting features may be E1-suitable per Brynjolfsson, the core WMS/TMS/OMS software requires specialized domain expertise and physical coordination that LLMs cannot replicate."
MGNI,20.0,35,"Per Eloundou et al., Magnite's core sell-side advertising platform requires real-time bidding infrastructure, millisecond auction processing, and deep system integrations with publishers/advertisers—classified as E0 tasks requiring specialized tools and real-time data; per Acemoglu & Restrepo, programmatic ad serving involves complex technical coordination, proprietary inventory management, and CTV ad server functionality (routing, podding logic, yield optimization) that are non-automatable due to infrastructure dependencies and real-time adaptation requirements, though some peripheral tasks like reporting could be LLM-assisted."
NTWK,20.0,35,"Per Acemoglu & Restrepo, NETSOL's core value lies in mission-critical enterprise software for finance/leasing that requires deep system integration, complex domain expertise built over decades, proprietary financial workflows, and ongoing client-specific customization—characteristics of non-automatable tasks requiring specialized judgment; while some documentation and support tasks are E1-exposed per Eloundou, the core product (NFS Ascent® platform with end-to-end business process encapsulation for auto captives and financial institutions) represents deep vertical specialization that LLMs cannot replicate without extensive proprietary domain knowledge and regulatory compliance requirements."
PCTY,20.0,35,"Per Acemoglu & Restrepo, payroll/HCM requires complex regulatory compliance across federal/state/local jurisdictions, deep integrations with 401(k)/benefits/insurance systems, and real-time payroll processing with legal liability - these are non-automatable tasks requiring specialized domain expertise and system integration that Eloundou classifies as E0; while the platform includes some E1 elements like AI dashboards and employee communication tools, the core value proposition of accurate, compliant payroll processing and benefits administration depends on proprietary integrations and regulatory expertise that LLMs cannot replicate."
VRME,20.0,28,"Per Eloundou et al., VerifyMe's core value derives from physical-world technologies—proprietary rare earth mineral inks, hardware authentication devices, and tamper-proof label printing—which are E0 tasks requiring specialized materials and physical manufacturing that LLMs cannot replicate; while their cloud-based track and trace software involves some text/data processing (partial E1), the primary competitive moat is the physical anti-counterfeit technology and supply chain authentication requiring real-world verification, placing this firmly in Acemoglu's non-automatable category."
PUBM,20.0,35,"Per Eloundou et al., PubMatic's core value lies in real-time bidding infrastructure processing ad impressions within milliseconds, proprietary supply-side platform technology, and deep integrations with DSPs/publishers—these are E0 tasks requiring specialized tools, real-time data processing, and complex system coordination that LLMs cannot replicate; while some peripheral tasks like documentation or reporting could be E1, the core programmatic advertising infrastructure and real-time auction systems represent non-automatable technical complexity per Acemoglu & Restrepo."
RAMP,20.0,42,"LiveRamp's core value lies in identity resolution and data connectivity infrastructure—linking customer identifiers across channels and devices through proprietary identity graphs and extensive partnership networks—which Acemoglu & Restrepo would classify as requiring complex system integration and non-codifiable relationship assets; while LLMs could replicate some data classification or documentation tasks (Eloundou E1), the foundational identity matching algorithms, real-time data processing infrastructure, and established network effects represent E0 characteristics that require specialized technical infrastructure rather than text generation."
DSGX,20.0,32,"Per Acemoglu & Restrepo, core value derives from non-automatable assets: proprietary Global Logistics Network connecting 160+ countries with real-time data flows, deep carrier/customs integrations, and IoT/telematics hardware—all E0 infrastructure requiring physical world coordination and specialized data moats that LLMs cannot replicate, though some text-based compliance and trade intelligence features (E1) exist at the margins."
SPSC,20.0,42,"Per Eloundou et al., SPS Commerce's core value lies in EDI network connectivity and real-time supply chain orchestration across 105,000 customers—tasks requiring deep system integration, proprietary trading partner relationships, and complex data infrastructure that represent E0 characteristics; while document/data processing components are E1-suitable per Brynjolfsson, the network effects, established integrations, and real-time inventory/order coordination across omnichannel retail represent non-automatable specialized infrastructure per Acemoglu."
QLYS,15.0,28,"Per Eloundou's E0 classification, Qualys' core value—real-time vulnerability scanning, continuous security monitoring, asset discovery across infrastructure, and remediation verification—requires deep system integration, proprietary threat intelligence, and specialized security tooling that LLMs cannot replicate; while some text-based reporting and documentation tasks are E1-suitable, the fundamental product depends on non-automatable real-time data collection and complex security judgment (Acemoglu) that demands physical/virtual infrastructure access beyond LLM capabilities."
VRNS,15.0,28,"Varonis provides data security and governance requiring deep system integration with file shares, SaaS applications, and enterprise infrastructure—per Acemoglu & Restrepo, this involves complex judgment about security threats and real-time data monitoring that is non-automatable; while some metadata classification could be E1, the core value lies in proprietary behavioral analytics, threat detection, and permission management across heterogeneous systems that LLMs cannot access or replicate without specialized tools and real-time data feeds (Eloundou E0 criteria)."
STEM,15.0,25,"Per Eloundou et al., STEM's core value is physical energy storage systems, hardware deployment, and real-time grid optimization—classified as E0 tasks requiring physical world interaction and real-time data; per Acemoglu & Restrepo, battery asset management involves non-automatable physical dexterity and specialized engineering judgment; while some back-office functions (financial reporting, documentation) show E1 exposure per Brynjolfsson, the fundamental business of deploying and operating physical energy infrastructure cannot be replicated by LLMs."
TENB,15.0,28,"Per Eloundou et al., Tenable's core value derives from real-time vulnerability scanning, network infrastructure monitoring, and OT/IoT security requiring specialized sensors and continuous system integration—classified as E0 tasks with no direct LLM exposure; while LLMs could assist with report generation or summarizing findings (E1 peripheral tasks), the fundamental value of detecting vulnerabilities across cloud, DevOps, and industrial control systems requires proprietary scanning technology, real-time data collection, and deep system access that Acemoglu & Restrepo classify as non-automatable due to physical world interaction and specialized tooling requirements."
TLS,15.0,32,"Per Eloundou et al., cybersecurity solutions requiring real-time threat detection, network monitoring, and system integration fall into E0 category with minimal LLM exposure; Acemoglu & Restrepo classify security operations as non-automatable due to complex judgment, real-time adaptation to novel threats, and deep system integration requirements; while some documentation/compliance tasks are text-based, Telos's core value in identity credentialing, threat defense, and cloud security infrastructure requires specialized domain expertise and proprietary security tools that LLMs cannot replicate."
IIIV,15.0,42,"Per Eloundou et al., the firm combines E1 tasks (document workflow, billing, scheduling, payment processing interfaces) with substantial E0 components including deep integrations with government systems, court case management, motor vehicle registration, healthcare revenue cycle management with insurance adjudication, and POS hardware infrastructure—these require specialized domain expertise, regulatory compliance, and system integrations that Brynjolfsson et al. classify as not LLM-suitable, though some workflow automation elements are partially replicable."
OOMA,15.0,42,"Per Eloundou et al., Ooma's core VoIP telecommunications infrastructure involves real-time voice transmission, network reliability, and hardware integration (E0 characteristics), while per Brynjolfsson et al., some peripheral functions like customer support, sales workflows, and basic business communication features could be LLM-suitable (E1), but the fundamental value proposition of reliable voice/communication infrastructure requires specialized telecom expertise, real-time data processing, and physical device management that LLMs cannot replicate."
AVPT,15.0,35,"Per Eloundou et al., AvePoint's core value lies in E0 tasks: deep Microsoft 365 infrastructure integration, real-time data backup/recovery across 125 PB and 14 data centers, security compliance (FedRAMP, SOC2), and complex system migrations requiring proprietary connectors and APIs—these are non-automatable per Acemoglu & Restrepo due to technical integration complexity, real-time infrastructure management, and specialized domain expertise that LLMs cannot replicate without the underlying platform architecture and enterprise trust relationships."
AGYS,15.0,35,"Per Acemoglu & Restrepo, Agilysys's core value lies in deep real-time system integrations (POS transactions, property management, inventory/procurement, payments processing) requiring specialized hospitality domain expertise and complex operational coordination—characteristics classified as non-automatable; while some documentation or reporting tasks are E1-exposed per Eloundou, the proprietary integrations with gaming, cruise, and enterprise hospitality infrastructure constitute E0 tasks that LLMs cannot replicate."
IDN,15.0,35,"Per Eloundou et al., identity verification requires real-time data validation against authoritative databases, biometric matching, and fraud detection systems—tasks classified as E0 requiring specialized tools and external data sources beyond LLM capabilities; while Acemoglu & Restrepo would note the core value lies in proprietary hardware integration (barcode/magnetic stripe readers), POS system integration, and real-time authentication infrastructure that cannot be replicated through text generation alone."
GWRE,15.0,28,"Per Eloundou et al., Guidewire's core value is transactional systems of record for insurance operations (policy, billing, claims management) requiring deep integration with real-time regulatory environments, proprietary insurer data, and complex multi-year implementations with system integrators—these are E0 tasks involving specialized domain infrastructure and non-automatable judgment per Acemoglu & Restrepo; while some analytics/AI features exist, the platform's core moat is mission-critical operational software that cannot be replicated by LLM text generation alone."
DMRC,15.0,28,"Per Eloundou et al., Digimarc's core value lies in proprietary digital watermarking technology requiring specialized hardware integration (industrial scanners, embedded patterns in physical packaging), real-time detection systems, and deep technical infrastructure for anti-counterfeiting and supply chain traceability—all E0 characteristics requiring physical world interaction and specialized tools that LLMs cannot replicate; while some documentation or classification tasks may be E1-adjacent, the fundamental product is non-automatable per Acemoglu & Restrepo due to its reliance on proprietary algorithms, hardware ecosystems, and physical media processing."
EGHT,15.0,42,"Per Eloundou et al., 8x8's core value lies in real-time voice/video infrastructure, network reliability, and telecom carrier integrations—classic E0 tasks requiring physical infrastructure and real-time data processing that LLMs cannot replicate; while some E1-exposed features exist (AI/ML analytics, chatbots, text-based collaboration), the fundamental value proposition is the globally distributed, carrier-grade communications platform with SLA-backed uptime, which per Acemoglu & Restrepo requires deep system integration and real-time adaptation that remains non-automatable."
ESTC,15.0,42,"Elastic's core value lies in Elasticsearch - a specialized distributed search engine and data store requiring deep system integration, real-time data processing, and infrastructure optimization (Acemoglu: non-automatable complex technical systems; Eloundou: E0 real-time data requirements), though some peripheral features like documentation search and basic log classification fall into E1 territory; LLMs cannot replicate the underlying search infrastructure, indexing algorithms, or multi-cloud deployment capabilities that constitute the platform's primary value proposition."
CEVA,10.0,15,"Per Eloundou et al., CEVA's core business—licensing DSP cores, AI processors, RF/mixed-signal IP, and wireless connectivity hardware designs requiring ISO 26262 automotive safety certification—falls squarely into E0 territory requiring specialized physical-world engineering, real-time signal processing, and deep hardware expertise that LLMs cannot replicate; per Acemoglu & Restrepo, semiconductor IP design demands complex judgment, physical domain knowledge, and non-codifiable engineering that is fundamentally non-automatable by text-based systems."
TCX,10.0,28,"Per Eloundou et al.'s E0 classification, Tucows' core value derives from physical fiber infrastructure deployment, real-time mobile network operations (MVNO/MSE), and domain registry systems requiring deep technical integration with ICANN/registrars—all non-automatable per Acemoglu & Restrepo due to physical world coordination, real-time data dependencies, and complex regulatory/technical judgment, with only peripheral text tasks (customer support, documentation) being LLM-suitable per Brynjolfsson."
CVLT,10.0,32,"Per Eloundou et al., Commvault's core value lies in E0 tasks—real-time data backup/recovery infrastructure, disaster recovery orchestration, and deep integration with physical/virtual machines, containers, and multi-cloud systems requiring specialized tooling and system-level coordination that LLMs cannot replicate; while some peripheral tasks like documentation or basic customer support may be E1-exposed, the fundamental product requires non-automatable complex system integration and real-time data handling per Acemoglu & Restrepo's framework."
CFLT,10.0,18,"Per Eloundou et al., Confluent's core value is real-time data streaming infrastructure requiring low-latency system integration, distributed computing, and physical-world IoT connectivity—classic E0 tasks where LLMs provide no direct exposure; per Acemoglu & Restrepo, this represents non-automatable deep technical infrastructure requiring complex judgment in distributed systems architecture and real-time data coordination that cannot be codified into routine cognitive tasks."
